ep 186, loss: 35.09, 6400 train 75.33%, 1600 test 79.38% 
ep 187, loss: 34.76, 6400 train 75.58%, 1600 test 80.12% 
ep 188, loss: 34.03, 6400 train 76.61%, 1600 test 75.12% 
ep 189, loss: 34.18, 6400 train 76.31%, 1600 test 80.44% 
ep 190, loss: 35.70, 6400 train 74.94%, 1600 test 78.56% 
ep 191, loss: 33.66, 6400 train 76.69%, 1600 test 78.62% 
ep 192, loss: 34.72, 6400 train 75.86%, 1600 test 76.69% 
ep 193, loss: 33.71, 6400 train 76.53%, 1600 test 77.06% 
ep 194, loss: 35.27, 6400 train 75.17%, 1600 test 78.75% 
ep 195, loss: 34.58, 6400 train 75.30%, 1600 test 80.88% 
ep 196, loss: 33.67, 6400 train 77.00%, 1600 test 78.62% 
ep 197, loss: 32.60, 6400 train 76.92%, 1600 test 79.56% 
ep 198, loss: 33.33, 6400 train 76.62%, 1600 test 79.19% 
ep 199, loss: 34.31, 6400 train 75.73%, 1600 test 79.31% 
ep 200, loss: 33.38, 6400 train 76.56%, 1600 test 78.12% 
ep 201, loss: 33.82, 6400 train 77.41%, 1600 test 78.44% 
ep 202, loss: 33.02, 6400 train 77.42%, 1600 test 80.38% 
ep 203, loss: 33.81, 6400 train 76.39%, 1600 test 79.62% 
ep 204, loss: 33.61, 6400 train 76.53%, 1600 test 78.62% 
ep 205, loss: 33.70, 6400 train 76.14%, 1600 test 79.88% 
ep 206, loss: 33.40, 6400 train 76.70%, 1600 test 78.94% 
ep 207, loss: 32.28, 6400 train 77.66%, 1600 test 77.94% 
ep 208, loss: 31.58, 6400 train 78.05%, 1600 test 80.12% 
ep 209, loss: 32.64, 6400 train 77.34%, 1600 test 79.62% 
ep 210, loss: 32.93, 6400 train 76.88%, 1600 test 80.94% 
ep 211, loss: 33.16, 6400 train 77.62%, 1600 test 79.00% 
ep 212, loss: 32.61, 6400 train 77.14%, 1600 test 81.50% 
ep 213, loss: 33.43, 6400 train 76.64%, 1600 test 78.75% 
ep 214, loss: 33.60, 6400 train 76.30%, 1600 test 79.88% 
ep 215, loss: 33.47, 6400 train 76.89%, 1600 test 80.38% 
